Name of Movies,Year of release,Certificates,Duration of movie,Genre,Star,Metascore,Votes
Moxie,2021,PG-13,111 min,"Comedy, Drama, Music",6.7,54        ,"19,564"
Night Stalker: The Hunt for a Serial Killer,2021,TV-MA,189 min,"Documentary, Crime, Mystery",7.5,nil,"19,342"
Bad Trip,2021,R,86 min,Comedy,6.6,61        ,"19,021"
 WandaVision,2021,TV-PG,33 min,"Action, Comedy, Drama",8.2,nil,"18,663"
F9: The Fast Saga,2021,PG-13,145 min,"Action, Adventure, Crime",5.5,58        ,"18,153"
To All the Boys: Always and Forever,2021,TV-14,109 min,"Comedy, Drama, Romance",6.3,65        ,"18,070"
Yes Day,2021,PG,86 min,"Comedy, Family",5.7,46        ,"18,067"
 Loki,2021– ,TV-14,51 min,"Action, Adventure, Fantasy",8.8,nil,"17,922"
 WandaVision,2021,TV-PG,47 min,"Action, Comedy, Drama",9.0,nil,"17,886"
 WandaVision,2021,TV-PG,50 min,"Action, Comedy, Drama",8.4,nil,"17,771"
The Innocent,2021,TV-MA,467 min,"Crime, Drama, Mystery",7.9,nil,"17,540"
Wrong Turn,2021,R,109 min,"Horror, Thriller",5.5,46        ,"17,410"
 WandaVision,2021,TV-PG,38 min,"Action, Comedy, Drama",8.9,nil,"17,371"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.3,nil,"16,788"
 WandaVision,2021,TV-PG,38 min,"Action, Comedy, Drama",8.5,nil,"16,217"
Firefly Lane,2021– ,TV-MA,nil,"Drama, Romance",7.5,nil,"15,992"
Below Zero,2021,TV-MA,106 min,"Action, Adventure, Crime",6.2,nil,"15,513"
Karnan,2021,not rated,158 min,"Action, Drama",8.3,nil,"15,366"
The Marksman,2021,PG-13,108 min,"Action, Drama, Thriller",5.6,44        ,"15,120"
 The Falcon and the Winter Soldier,2021,TV-14,47 min,"Action, Adventure, Drama",7.7,nil,"15,119"
Superman and Lois,2021– ,TV-14,42 min,"Action, Adventure, Drama",7.9,nil,"15,011"
Willy's Wonderland,2021,TV-MA,88 min,"Action, Comedy, Horror",5.6,44        ,"14,756"
Crime Scene: The Vanishing at the Cecil Hotel,2021,TV-MA,219 min,"Documentary, Crime, Mystery",5.9,nil,"14,672"
The Map of Tiny Perfect Things,2021,PG-13,98 min,"Comedy, Fantasy, Romance",6.8,61        ,"14,456"
Infinite,2021,PG-13,106 min,"Action, Sci-Fi, Thriller",5.4,28        ,"14,363"
The Nevers,2021– ,TV-MA,58 min,"Action, Drama, Fantasy",7.4,nil,"14,245"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.7,nil,"13,947"
 Loki,2021– ,TV-14,53 min,"Action, Adventure, Fantasy",9.0,nil,"13,935"
 The Falcon and the Winter Soldier,2021,TV-14,53 min,"Action, Adventure, Drama",8.8,nil,"13,662"
Bliss,I 2021,R,103 min,"Drama, Romance, Sci-Fi",5.3,40        ,"13,623"
Them,2021– ,TV-MA,45 min,"Drama, Horror, Thriller",7.3,nil,"13,382"
Fatherhood,2021,PG-13,109 min,"Comedy, Drama",6.7,53        ,"13,245"
 The Falcon and the Winter Soldier,2021,TV-14,47 min,"Action, Adventure, Drama",7.9,nil,"13,059"
Awake,III 2021,TV-MA,96 min,"Action, Adventure, Drama",4.8,35        ,"13,034"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",8.9,nil,"12,981"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.8,nil,"12,918"
The Irregulars,2021,TV-14,nil,"Crime, Drama, Fantasy",5.9,nil,"12,203"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.7,nil,"12,165"
 The Falcon and the Winter Soldier,2021,TV-14,51 min,"Action, Adventure, Drama",8.0,nil,"12,069"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.1,nil,"11,989"
The Big Bull,2021,not rated,153 min,"Biography, Crime, Drama",6.1,nil,"11,613"
Dota: Dragon's Blood,2021– ,TV-MA,25 min,"Animation, Action, Adventure",8.1,nil,"11,443"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.2,nil,"11,419"
 The Falcon and the Winter Soldier,2021,TV-14,49 min,"Action, Adventure, Drama",7.8,nil,"11,380"
 The Falcon and the Winter Soldier,2021,TV-14,57 min,"Action, Adventure, Drama",8.0,nil,"11,237"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.7,nil,"11,209"
Red Dot,2021,TV-MA,86 min,"Drama, Horror, Thriller",5.5,nil,"11,187"
The One,2021– ,TV-MA,nil,"Crime, Drama, Sci-Fi",6.6,nil,"10,470"
Deadly Illusions,2021,R,114 min,"Drama, Thriller",3.7,nil,"10,267"
Star Wars: The Bad Batch,2021– ,TV-PG,nil,"Animation, Action, Adventure",8.4,nil,"10,234"
The Unholy,2021,PG-13,99 min,"Drama, Horror, Mystery",5.0,36        ,"10,187"
Vakeel Saab,2021,TV-14,153 min,"Action, Crime, Drama",7.9,nil,"10,119"
Paper Lives,2021,TV-MA,96 min,Drama,6.7,nil,"9,856"
Who Killed Sara?,2021– ,TV-MA,nil,"Crime, Drama, Mystery",6.4,nil,"9,815"
Tribes of Europa,2021– ,TV-MA,nil,"Action, Adventure, Drama",6.8,nil,"9,657"
 Loki,2021– ,TV-14,42 min,"Action, Adventure, Fantasy",7.9,nil,"9,653"
The United States vs. Billie Holiday,2021,R,126 min,"Biography, Drama, Music",6.3,52        ,"9,630"
Clarkson's Farm,2021– ,TV-PG,45 min,Documentary,9.3,nil,"9,603"
Stuck Apart,2021,TV-MA,96 min,"Comedy, Drama",6.1,nil,"9,362"
Harga,2021– ,not rated,nil,Drama,9.7,nil,"9,308"
Iste Bu Benim Masalim,2021,not rated,40 min,"Musical, Romance",1.5,nil,"9,221"
Halston,2021,TV-MA,240 min,"Biography, Drama",7.5,nil,"9,140"
Voyagers,2021,PG-13,108 min,"Adventure, Sci-Fi, Thriller",5.4,44        ,"8,895"
The Vault,2021,R,118 min,"Action, Adventure, Thriller",6.4,50        ,"8,747"
Jagame Thandhiram,2021,TV-MA,158 min,"Action, Crime, Drama",6.2,nil,"8,426"
Locked Down,I 2021,R,118 min,"Comedy, Crime, Romance",5.2,42        ,"8,395"
Wish Dragon,2021,PG,98 min,"Animation, Adventure, Comedy",7.2,60        ,"8,365"
Barb and Star Go to Vista Del Mar,2021,PG-13,107 min,Comedy,6.4,64        ,"8,352"
 The Walking Dead,2010–2022,TV-MA,50 min,"Drama, Horror, Thriller",9.3,nil,"7,968"
Finding 'Ohana,2021,PG,123 min,"Action, Adventure, Comedy",6.1,69        ,"7,874"
The Married Woman,2021– ,not rated,30 min,"Drama, Romance",9.4,nil,"7,544"
Mumbai Saga,2021,not rated,135 min,"Action, Crime",6.1,nil,"7,377"
The Girl on the Train,2021,TV-MA,120 min,"Crime, Drama, Mystery",4.4,nil,"7,353"
Ferry,2021,TV-MA,106 min,"Action, Crime, Drama",7.0,nil,"7,318"
The Equalizer,2021– ,TV-14,nil,"Action, Crime, Drama",4.8,nil,"7,195"
Pagglait,2021,TV-14,114 min,"Comedy, Drama",6.9,nil,"7,173"
